"Quiz name","Course name","Open the quiz","Number of complete graded first attempts","Total number of complete graded attempts","Average grade of first attempts","Average grade of all attempts","Average grade of last attempts","Average grade of highest graded attempts","Median grade (for highest graded attempt)","Standard deviation (for highest graded attempt)","Score distribution skewness (for highest graded attempt)","Score distribution kurtosis (for highest graded attempt)","Coefficient of internal consistency (for highest graded attempt)","Error ratio (for highest graded attempt)","Standard error (for highest graded attempt)"
"Midterm Exam","ITE16 - Multimedia Systems","Friday, 30 June 2017, 9:00 AM",34,34,43.29%,43.29%,43.29%,43.29%,40.00%,13.94%,0.4094,-0.8554,77.03%,47.93%,6.68%
Q#,"Question type","Question name",Attempts,"Facility index","Standard deviation","Random guess score","Intended weight","Effective weight","Discrimination index","Discriminative efficiency"
33,"Multiple choice","The process of playing a sound file while part of the file is still ...",34,64.71%,48.51%,25.00%,1.33%,2.03%,24.74%,33.27%
34,"Multiple choice","The process of recording a sound, stored in the  form of thousands of ...",34,14.71%,35.95%,20.00%,1.33%,1.77%,26.36%,37.49%
35,"Multiple choice","The Red Book standard was so named because:",34,0.00%,0.00%,20.00%,1.33%,0.00%,,
36,"Multiple choice","The reference from one document to another document, image, sound, or file on...",34,14.71%,35.95%,20.00%,1.33%,1.67%,23.08%,32.86%
37,"Multiple choice","The slower a user's connection, the longer he must wait for enough of the ...",34,41.18%,49.96%,20.00%,1.33%,2.45%,36.76%,43.43%
38,"Multiple choice","The standard file format for displaying digitized motion video on the ...",34,32.35%,47.49%,25.00%,1.33%,1.59%,13.76%,16.17%
39,"Multiple choice","TIFF stands for:",34,29.41%,46.25%,20.00%,1.33%,1.18%,5.81%,6.88%
40,"Multiple choice","To adjust the level of a number of tracks to bring them all up to about the ...",34,64.71%,48.51%,25.00%,1.33%,2.85%,53.91%,72.70%
41,"Multiple choice","Vector-drawn objects are used for all of the following except:",34,85.29%,35.95%,20.00%,1.33%,1.73%,25.30%,45.66%
42,"Multiple choice","Web pages are coded using:",34,79.41%,41.04%,20.00%,1.33%,2.23%,37.83%,58.77%
43,"Multiple choice","What happens when an audio signal exceeds the recording device's maximum ...",34,47.06%,50.66%,20.00%,1.33%,1.86%,18.50%,22.38%
44,"Multiple choice","What is the best way to start creating your project's interface?",34,5.88%,23.88%,20.00%,1.33%,1.34%,23.41%,51.58%
45,"Multiple choice","When an image created on a Macintosh is viewed on a PC:",34,41.18%,49.96%,20.00%,1.33%,1.66%,14.14%,16.65%
46,"Multiple choice","When audio is measured in order to be digitally stored, the value of each ...",34,35.29%,48.51%,25.00%,1.33%,1.76%,17.24%,20.19%
47,"Multiple choice","Which image file type is best for photographs?",34,52.94%,50.66%,20.00%,1.33%,2.62%,42.13%,52.96%
48,"Multiple choice","Which of the following is a character encoding system?",34,55.88%,50.40%,20.00%,1.33%,,-12.78%,-16.10%
49,"Multiple choice","Which of the following is a problem that might apply to hypermedia?",34,52.94%,50.66%,20.00%,1.33%,0.36%,-3.97%,-4.99%
50,"Multiple choice","Which of the following is a term that applies to the spacing between ...",34,29.41%,46.25%,20.00%,1.33%,,-22.83%,-26.99%
51,"Multiple choice","Which of the following is a typical method for word searching in a hypermedia...",34,5.88%,23.88%,20.00%,1.33%,,-34.72%,-75.50%
52,"Multiple choice","Which of the following is not a color specification format?",34,50.00%,50.75%,20.00%,1.33%,2.18%,27.53%,33.81%
53,"Multiple choice","Which of the following is not a native Windows graphics file format?",34,44.12%,50.40%,20.00%,1.33%,,-26.96%,-31.72%
54,"Multiple choice","Which of the following provides a system for dynamically displaying a font?",34,32.35%,47.49%,20.00%,1.33%,1.86%,20.59%,24.12%
55,"Multiple choice","Which of the following sound file characteristics does not directly affect ...",34,70.59%,46.25%,20.00%,1.33%,2.52%,43.26%,60.59%
56,"Multiple choice","Which of these is the correct HTML hexadecimal representation of magenta red ...",34,8.82%,28.79%,25.00%,1.33%,,-8.19%,-14.59%
57,"Multiple choice","Which of these statements regarding the MIDI audio format is not true?",34,5.88%,23.88%,20.00%,1.33%,1.68%,38.18%,83.86%
